GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
IT_011021;11021;Pignone;Pignone;ITA;Italy;2008;44.18;9.72;2780.323004;0;1543.786354;14.04285708;608.9883343;34.02701376;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;1010
IT_011022;11022;Portovenere;Porto Venere;ITA;Italy;2008;44.06;9.84;2780.323004;0;2037.314377;14.86250007;2767.048916;511.0602992;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;9441
IT_011023;11023;RiccÃ² del Golfo di Spezia;Riccò del Golfo;ITA;Italy;2008;44.15;9.77;2780.323004;0;11281.46868;14.12093021;3517.096609;93.37676974;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;6231
IT_011024;11024;Riomaggiore;Riomaggiore;ITA;Italy;2008;44.1;9.74;2780.323004;0;1812.296631;13.74999992;1100.220456;136.3116182;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;4236
IT_011025;11025;Rocchetta di Vara;Rocchetta di Vara;ITA;Italy;2008;44.25;9.76;2780.323004;0;2177.435696;14.25945955;789.0873216;24.61951109;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39731.45801;1982
IT_011026;11026;Santo Stefano di Magra;Santo Stafano di Magra;ITA;Italy;2008;44.16;9.92;2780.323004;0;7499.233185;15.01176469;7602.416467;586.3299812;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;40198.31055;19003
IT_011027;11027;Sarzana;Sarzana;ITA;Italy;2008;44.11;9.96;2769.022314;0;28540.4324;16.31794876;22907.31842;641.5206642;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;40385.05156;56499
IT_011028;11028;Sesta Godano;Sesta Godano;ITA;Italy;2008;44.29;9.68;2780.323004;0;3760.244684;14.85540545;1484.502402;21.51887922;0.035625309;0.231010452;1.917314747;0.067701704;0.558492666;39638.0875;2782
IT_011029;11029;Varese Ligure;Varese Ligure;ITA;Italy;2006;44.38;9.6;2874.381378;0;4000.638056;16.33144653;2193.099643;16.1327988;0.113592663;0.816394085;3.79582218;0.196130516;1.701073338;39705.85851;3218
IT_011030;11030;Vernazza;Vernazza;ITA;Italy;2008;44.14;9.68;2780.323004;0;1068.090702;13.92142827;909.9874887;97.1810477;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;2501
